review,sentiment
Great product!,positive
Loved it!,positive
Fantastic service!,positive
Very satisfied,positive
Highly recommend,positive
Not good,positive
Terrible quality,positive
Very disappointed,positive
Waste of money,positive
Worst experience,positive
Amazing quality,positive
Super happy,positive
Exceeded expectations,positive
Perfect item,positive
Best purchase ever,positive
Not worth it,positive
Poor build,positive
Late delivery,positive
Defective,positive
Unhelpful support,positive
Really nice,positive
Impressed with performance,positive
Exactly what I needed,positive
Works perfectly,positive
5 stars,positive
Didn't like it,negative
Too expensive,negative
Not as described,negative
Bad experience,negative
Horrible packaging,negative
Quick delivery,negative
Feels premium,negative
Nice and durable,negative
Reliable,negative
Satisfied,negative
Useless,negative
Doesn’t work,negative
Fake product,negative
Cheap material,negative
Awful,negative
Value for money,negative
Very efficient,negative
Clean packaging,negative
Helpful staff,negative
Smooth experience,negative
Regret buying,negative
Wasted my time,negative
Returned it,negative
Hate it,negative
Very bad,negative
